ID,Name,Quantity
19700,Mithril Ore,1421
19729,Thick Leather Section,656
19732,Hardened Leather Section,205
19745,Gossamer Scrap,271
19748,Silk Scrap,895
24276,Pile of Incandescent Dust,176
24277,Pile of Crystalline Dust,48
24282,Potent Venom Sac,189
24283,Powerful Venom Sac,49
24288,Large Scale,176
24289,Armored Scale,42
24294,Vial of Potent Blood,201
24295,Vial of Powerful Blood,44
24299,Intricate Totem,159
24300,Elaborate Totem,49
24304,Charged Core,4
24305,Charged Lodestone,1
24309,Onyx Core,4
24314,Molten Core,5
24315,Molten Lodestone,1
24319,Glacial Core,2
24320,Glacial Lodestone,1
24324,Destroyer Core,3
24325,Destroyer Lodestone,3
24329,Crystal Core,3
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,3
24339,Corrupted Core,5
24341,Large Bone,194
24350,Large Claw,194
24351,Vicious Claw,59
24356,Large Fang,182
24357,Vicious Fang,50
24358,Ancient Bone,46
